student_id,age,gender,attendance_percentage,study_hours_per_day,assignment_completion_rate,internal_marks,previous_cgpa,extracurricular_activities,part_time_job,performance_category
S0377,19,Female,71.4,2.6,95.6,54.4,7.26,1,0,Excellent
S0378,23,Female,69.5,5.2,98.5,43.4,4.64,1,1,Average
S0379,19,Male,69.1,4.5,66.9,58.1,4.97,1,1,Good
S0380,20,Female,61.2,2.9,93.1,38.6,6.58,0,0,Good
S0381,23,Female,99.2,2.0,78.0,62.3,4.68,0,1,Good
S0382,19,Female,70.2,0.1,76.3,33.7,4.04,1,0,At Risk
S0383,23,Male,93.3,4.7,85.5,67.6,6.2,0,0,Excellent
S0384,19,Male,97.8,0.9,74.5,60.9,6.73,1,1,Excellent
S0385,20,Female,90.0,4.2,100.0,66.5,6.28,1,0,Excellent
S0386,19,Male,68.5,3.5,80.7,53.1,4.79,0,0,Average
S0387,19,Female,81.1,5.4,69.0,58.7,4.76,0,0,Good
S0388,19,Female,74.6,3.4,75.9,48.0,4.61,0,0,Average
S0389,18,Female,61.4,3.3,84.3,60.1,4.8,1,1,Average
S0390,18,Female,79.9,5.5,100.0,54.9,5.33,1,0,Good
S0391,18,Other,57.3,4.7,93.4,43.0,4.13,1,0,Average
S0392,20,Male,92.8,4.6,71.4,67.0,4.82,0,0,Excellent
S0393,23,Female,68.0,4.9,100.0,48.7,5.93,1,0,Good
S0394,22,Male,78.0,0.9,80.8,38.5,4.0,1,0,At Risk
S0395,19,Male,79.2,5.5,100.0,48.7,4.0,0,0,Good
S0396,19,Female,71.1,5.2,83.1,53.1,5.05,1,1,Good
S0397,20,Female,83.8,2.0,87.0,50.5,5.08,1,1,Good
S0398,19,Other,67.9,3.5,94.6,52.8,4.0,0,0,Average
S0399,18,Female,88.1,3.9,100.0,65.7,6.21,1,0,Excellent
S0400,22,Male,54.8,3.7,98.3,51.8,4.27,0,0,Average
S0401,21,Male,76.9,4.7,97.5,55.6,6.7,1,1,Excellent
S0402,19,Female,100.0,6.9,84.1,69.1,6.57,0,1,Excellent
S0403,18,Male,60.0,6.2,78.8,60.7,5.32,1,0,Good
S0404,21,Male,64.8,1.4,82.8,53.8,4.63,1,1,Average
S0405,22,Male,82.7,5.2,99.4,61.4,5.6,1,0,Excellent
S0406,21,Male,77.7,6.7,85.1,59.7,6.07,1,0,Excellent
S0407,18,Male,80.3,4.8,100.0,50.5,5.01,1,0,Good
S0408,23,Male,82.3,6.2,100.0,51.7,4.93,1,0,Good
S0409,23,Male,84.5,8.0,77.3,74.7,6.53,1,0,Excellent
S0410,21,Male,91.6,6.0,74.4,70.1,5.72,1,0,Excellent
S0411,20,Other,81.1,4.5,81.9,62.4,5.47,1,0,Good
S0412,21,Male,71.4,6.1,91.8,58.7,4.0,1,0,Good
S0413,19,Male,85.1,4.3,75.7,69.7,6.96,1,0,Excellent
S0414,19,Female,100.0,4.0,100.0,58.1,5.73,1,0,Excellent
S0415,23,Male,73.0,3.3,88.0,59.4,4.95,1,0,Good
S0416,20,Female,60.4,7.1,89.8,59.1,7.06,0,0,Excellent
S0417,18,Female,91.6,2.4,58.3,49.8,5.06,0,0,Good
S0418,19,Male,73.2,7.1,69.5,68.0,5.25,0,0,Good
S0419,23,Male,42.4,5.0,89.2,51.0,5.75,1,0,Average
S0420,22,Female,87.7,1.2,45.4,52.8,5.49,0,0,Average
S0421,23,Female,67.0,4.7,99.6,54.9,5.61,1,0,Good
S0422,19,Male,73.6,0.0,72.6,41.8,4.17,1,0,At Risk
S0423,19,Female,80.0,5.3,100.0,79.0,7.1,0,1,Excellent
S0424,23,Male,77.9,5.8,100.0,70.2,6.0,1,0,Excellent
S0425,18,Other,85.6,2.8,77.9,59.9,6.04,0,0,Excellent
S0426,21,Male,68.5,4.2,81.8,54.0,4.0,0,0,Average
S0427,19,Female,82.7,7.9,100.0,76.6,6.25,1,0,Excellent
S0428,23,Female,71.1,3.0,100.0,54.5,6.65,1,0,Excellent
S0429,23,Female,86.1,1.9,54.2,51.7,4.49,1,0,Average
S0430,20,Male,84.2,7.0,62.2,63.8,5.34,0,0,Excellent
S0431,21,Male,61.0,7.9,81.5,61.4,5.33,1,1,Good
S0432,22,Male,91.3,4.0,91.7,34.0,4.0,0,0,Average
S0433,18,Male,67.0,6.0,94.5,59.8,4.0,0,0,Good
S0434,22,Male,87.1,6.7,100.0,62.3,5.55,0,0,Excellent
S0435,21,Female,80.5,2.5,62.0,64.4,5.97,0,1,Good
S0436,21,Male,100.0,3.0,46.3,59.2,5.51,0,1,Good
S0437,21,Male,71.6,6.5,100.0,51.5,4.97,0,0,Good
S0438,22,Female,69.8,7.4,77.4,62.7,5.8,1,1,Excellent
S0439,21,Female,74.7,5.1,54.9,49.3,5.78,0,0,Good
S0440,23,Female,70.5,2.2,81.6,51.5,4.94,0,1,Average
S0441,22,Other,87.0,8.0,100.0,72.4,5.88,0,1,Excellent
S0442,21,Male,50.8,2.9,79.0,51.6,4.87,1,0,Average
S0443,23,Male,59.2,3.3,74.7,41.3,4.94,0,1,Average
S0444,20,Female,59.0,4.7,82.0,52.1,6.26,1,0,Good
S0445,21,Female,89.3,7.1,83.6,57.2,4.93,1,0,Excellent
S0446,22,Male,100.0,5.7,66.2,72.7,6.44,0,0,Excellent
S0447,19,Female,73.4,4.8,73.9,60.6,5.91,1,1,Good
S0448,21,Male,72.5,4.9,92.6,60.4,4.83,0,0,Good
S0449,19,Male,76.1,4.1,88.0,55.1,5.32,1,0,Good
S0450,23,Female,92.4,5.1,87.7,66.3,4.81,1,1,Excellent
S0451,20,Female,61.1,0.0,60.1,51.2,4.0,0,0,At Risk
S0452,18,Female,78.6,3.4,79.1,51.5,5.38,0,0,Good
S0453,20,Male,89.6,4.5,51.3,61.5,5.38,1,0,Good
S0454,21,Female,82.5,1.7,81.1,41.2,4.63,1,0,Average
S0455,19,Male,77.8,4.8,100.0,50.8,5.03,0,0,Good
S0456,19,Male,90.0,3.6,60.1,58.6,4.73,1,0,Good
S0457,22,Female,34.5,7.5,81.2,61.7,5.67,1,1,Good
S0458,19,Female,85.2,7.1,94.1,64.8,4.9,1,1,Excellent
S0459,22,Female,65.2,3.1,100.0,47.0,5.93,0,0,Good
S0460,23,Female,47.5,3.7,75.7,42.1,4.0,1,0,At Risk
S0461,18,Female,82.7,3.9,72.4,52.2,4.98,1,0,Good
S0462,21,Female,95.6,3.1,51.7,60.3,4.78,0,0,Good
S0463,22,Male,72.9,4.4,85.4,43.1,5.04,1,0,Average
S0464,18,Male,89.3,2.5,100.0,64.5,5.6,1,0,Excellent
S0465,19,Male,99.2,1.7,82.6,49.5,4.56,1,1,Good
S0466,19,Male,94.7,5.2,85.1,69.8,6.87,0,0,Excellent
S0467,18,Female,99.6,5.3,90.4,55.6,5.36,1,0,Excellent
S0468,19,Male,86.1,2.4,79.6,58.4,5.92,0,1,Good
S0469,23,Male,76.1,5.8,74.4,65.6,5.15,1,0,Good
S0470,23,Male,51.0,2.7,92.7,46.5,4.0,0,0,At Risk
S0471,18,Female,71.3,4.5,87.4,46.9,4.9,1,0,Average
S0472,22,Male,62.4,5.6,86.5,57.5,5.19,1,0,Good
S0473,22,Female,100.0,3.9,68.2,52.2,5.63,0,1,Good
S0474,18,Male,72.4,4.9,100.0,54.4,5.2,1,0,Good
S0475,22,Male,76.8,3.0,91.0,60.3,5.78,1,1,Good
S0476,22,Female,83.3,3.6,73.9,62.2,4.43,0,1,Good
S0477,23,Female,75.7,3.6,97.2,53.6,6.73,1,1,Excellent
S0478,22,Male,100.0,2.5,72.5,49.7,4.85,1,1,Good
S0479,20,Female,65.7,3.6,70.5,55.7,5.9,0,0,Good
S0480,21,Female,77.9,0.9,65.4,46.2,4.1,0,0,At Risk
S0481,19,Male,63.9,3.0,54.4,29.6,4.02,0,0,At Risk
S0482,20,Female,55.2,3.4,88.9,53.0,4.14,0,0,Average
S0483,22,Female,65.8,3.5,54.5,50.0,5.36,1,1,Average
S0484,23,Female,74.4,3.5,63.6,62.4,5.46,0,0,Good
S0485,18,Female,68.6,3.9,51.7,43.5,4.63,1,1,Average
S0486,22,Female,64.6,5.0,83.7,29.0,4.3,1,1,At Risk
S0487,23,Female,53.9,5.7,84.1,55.5,4.34,0,1,Average
S0488,21,Female,73.8,2.7,75.5,52.6,4.61,1,1,Average
S0489,22,Female,52.4,1.6,62.6,27.0,4.0,1,0,At Risk
S0490,18,Female,86.4,1.9,61.2,43.8,6.31,1,0,Good
S0491,23,Female,76.2,3.0,88.0,73.9,6.32,0,0,Excellent
S0492,23,Female,53.1,3.3,73.3,43.4,5.08,0,0,Average
S0493,23,Male,70.4,2.5,84.7,54.5,5.18,1,0,Good
S0494,21,Female,63.7,1.4,64.5,38.1,5.84,1,1,Average
S0495,22,Female,79.8,3.1,83.9,36.5,4.0,1,1,Average
S0496,21,Male,95.1,4.4,100.0,60.4,5.7,1,0,Excellent
S0497,19,Female,46.9,5.2,94.2,47.5,4.0,0,0,Average
S0498,19,Male,76.7,2.9,74.6,48.5,4.0,1,0,Average
S0499,22,Male,72.6,3.2,85.3,50.5,5.27,0,0,Good
S0500,21,Female,85.1,2.1,75.6,53.9,5.35,0,0,Good
S0501,18,Male,78.2,3.9,82.9,54.0,5.01,1,0,Good
S0502,23,Female,63.7,2.3,74.7,35.9,4.07,0,0,At Risk
S0503,23,Female,70.2,5.1,82.7,60.2,8.09,1,0,Excellent
S0504,22,Male,63.1,0.4,79.0,24.5,4.0,1,0,At Risk
S0505,19,Male,91.1,3.3,66.7,40.8,4.86,0,0,Average
S0506,19,Male,75.3,4.6,69.0,62.3,5.22,1,0,Good
S0507,23,Female,100.0,4.4,63.0,67.3,6.27,1,0,Excellent
S0508,22,Other,74.1,9.4,69.8,70.0,6.01,1,0,Excellent
S0509,21,Female,64.4,4.7,66.1,42.3,4.21,0,1,At Risk
S0510,19,Male,52.3,2.0,81.4,36.0,5.62,0,0,At Risk
S0511,21,Female,48.0,3.8,69.2,43.7,5.56,1,0,Average
S0512,19,Female,51.2,0.4,83.5,23.8,4.0,0,1,At Risk
S0513,19,Female,79.0,3.8,83.1,49.2,4.0,0,0,Average
S0514,20,Male,82.6,2.3,50.1,56.9,5.13,1,1,Average
S0515,19,Female,51.3,5.8,96.4,64.2,8.01,0,0,Excellent
S0516,18,Female,88.4,2.9,93.0,51.9,4.93,1,0,Good
S0517,22,Female,67.8,3.8,67.7,57.8,6.35,0,0,Good
S0518,22,Male,77.2,2.7,86.7,35.9,5.31,1,0,Average
S0519,21,Female,99.2,7.5,77.2,77.5,6.83,1,0,Excellent
S0520,19,Female,88.5,3.4,83.3,50.3,4.34,0,0,Good
S0521,18,Male,71.0,7.7,71.4,66.9,4.07,0,0,Good
S0522,21,Female,61.6,5.6,59.3,53.3,5.75,1,0,Good
S0523,20,Female,42.7,5.0,79.3,58.4,4.85,1,0,Average
S0524,21,Male,64.2,4.7,82.5,46.4,4.92,1,0,Average
S0525,21,Male,71.8,4.8,78.6,61.0,4.66,0,0,Good
S0526,19,Female,60.2,0.1,57.4,36.1,4.0,0,0,At Risk
S0527,20,Male,73.0,3.4,75.8,50.8,5.07,1,0,Average
S0528,21,Female,76.2,5.7,90.4,58.5,5.72,1,1,Excellent
S0529,18,Male,71.6,3.9,82.1,46.4,4.0,1,0,Average
S0530,18,Female,65.2,1.2,80.1,43.0,5.54,1,0,Average
S0531,22,Male,77.5,3.9,72.7,54.4,4.79,1,0,Good
S0532,20,Female,81.6,7.4,100.0,68.6,4.78,1,0,Excellent
S0533,20,Other,58.6,6.5,70.4,57.8,5.38,0,1,Good
S0534,22,Female,96.2,3.9,90.1,66.9,6.04,1,0,Excellent
S0535,21,Female,73.5,5.9,100.0,67.1,6.15,1,0,Excellent
S0536,20,Male,75.3,3.3,88.8,44.1,5.74,0,0,Good
S0537,18,Female,85.6,0.6,73.2,54.4,5.07,1,1,Good
S0538,18,Male,78.5,2.2,71.5,40.7,4.35,1,0,Average
S0539,19,Male,89.3,7.1,100.0,72.8,5.49,1,1,Excellent
S0540,20,Male,79.3,3.5,60.7,59.2,6.21,1,1,Good
S0541,21,Male,65.8,3.5,67.4,34.9,4.24,1,0,At Risk
S0542,22,Female,80.4,3.4,75.8,55.1,4.97,0,1,Good
S0543,22,Female,57.8,7.8,100.0,57.0,4.0,1,0,Good
S0544,21,Male,76.6,7.3,95.3,58.8,6.68,1,1,Excellent
S0545,23,Male,74.5,8.4,77.3,78.4,5.72,1,0,Excellent
S0546,19,Other,71.9,3.7,77.7,47.4,4.37,0,0,Average
S0547,22,Male,73.1,4.6,75.0,49.3,5.24,0,0,Good
S0548,20,Male,46.8,1.0,66.4,37.6,4.0,1,1,At Risk
S0549,19,Male,66.8,7.0,100.0,66.5,4.8,1,0,Good
S0550,20,Female,76.4,1.7,57.8,46.9,4.0,1,0,At Risk
S0551,18,Female,77.4,4.4,100.0,65.8,6.52,1,0,Excellent
S0552,19,Male,59.6,1.8,91.0,47.5,4.41,1,0,Average
S0553,22,Male,94.0,2.8,97.0,39.2,6.69,1,0,Excellent
S0554,19,Female,62.0,2.3,72.7,41.3,4.0,1,0,At Risk
S0555,19,Female,89.5,2.8,78.4,50.8,4.31,0,0,Average
S0556,19,Male,81.4,2.9,59.3,57.0,4.97,1,0,Good
S0557,23,Female,65.3,2.9,72.9,27.3,4.0,1,0,At Risk
S0558,19,Male,100.0,5.7,93.8,87.5,6.87,0,0,Excellent
S0559,20,Male,57.1,1.8,98.0,46.8,5.3,0,0,Average
S0560,18,Female,88.8,4.4,67.2,61.0,4.88,0,1,Good
S0561,21,Male,90.0,6.4,82.3,75.7,5.44,1,0,Excellent
S0562,19,Female,64.9,3.0,78.7,67.2,4.59,0,1,Good
S0563,22,Male,95.9,2.6,59.3,63.5,4.03,1,1,Good
S0564,19,Male,71.2,3.5,90.9,59.5,5.16,1,0,Good
S0565,22,Other,79.3,6.4,76.9,64.0,5.6,1,0,Excellent
S0566,20,Male,78.9,4.4,80.9,55.7,4.84,1,1,Good
S0567,22,Female,73.0,2.9,74.0,46.8,5.8,0,0,Good
S0568,21,Male,87.2,5.0,73.2,54.6,6.26,1,0,Excellent
S0569,18,Male,86.9,1.8,78.5,46.0,4.49,1,0,Average
S0570,22,Male,48.8,5.4,82.6,40.0,4.0,1,0,At Risk
S0571,22,Female,94.6,4.8,79.0,62.2,5.28,0,1,Excellent
S0572,18,Male,50.1,3.4,70.9,31.8,4.0,1,0,At Risk
S0573,21,Female,90.5,2.3,84.4,55.6,4.81,1,0,Good
S0574,19,Male,91.9,2.2,100.0,53.9,4.68,1,0,Good
S0575,22,Female,58.6,5.1,87.3,54.1,4.72,1,0,Average
S0576,18,Male,68.8,6.5,100.0,56.0,5.05,1,0,Good
S0577,20,Female,58.4,2.7,59.5,70.2,5.7,1,0,Good
S0578,18,Female,71.8,4.9,87.2,67.1,6.19,1,1,Excellent
S0579,20,Female,70.4,0.0,58.5,31.2,4.16,1,0,At Risk
S0580,21,Female,86.7,2.8,58.4,56.3,4.65,0,1,Average
S0581,19,Female,94.7,3.9,71.7,55.2,6.33,0,0,Excellent
S0582,18,Female,95.9,2.2,97.3,47.3,4.05,0,0,Good
S0583,23,Male,66.6,2.1,93.5,35.6,4.0,0,0,At Risk
S0584,22,Male,71.9,2.7,84.0,53.1,5.49,0,0,Good
S0585,21,Female,49.7,4.6,61.2,43.3,4.0,1,0,At Risk
S0586,18,Female,62.9,3.6,79.3,57.4,5.7,0,0,Good
S0587,22,Female,89.5,0.0,79.5,54.8,4.0,1,1,Average
S0588,18,Male,99.2,0.0,77.6,60.8,6.76,0,1,Excellent
S0589,20,Male,56.5,2.8,52.9,38.5,4.85,0,0,At Risk
S0590,18,Male,66.1,4.9,71.4,58.3,4.3,0,0,Average
S0591,23,Female,74.6,0.0,74.0,47.4,4.0,0,0,At Risk
S0592,18,Male,79.2,3.0,89.0,49.0,6.28,1,0,Good
S0593,18,Male,62.9,2.9,47.9,41.4,4.0,1,0,At Risk
S0594,23,Male,81.4,6.8,86.2,77.7,5.99,0,0,Excellent
S0595,21,Male,67.9,3.2,83.5,51.8,4.0,1,1,Average
S0596,18,Female,74.8,4.8,97.3,61.9,5.43,1,1,Excellent
S0597,23,Male,83.2,4.3,94.0,51.3,4.9,1,0,Good
S0598,22,Female,75.1,0.0,83.7,32.8,4.54,1,0,At Risk
S0599,20,Male,68.5,5.5,74.0,52.5,4.03,1,0,Average
S0600,20,Male,73.4,4.4,55.2,54.2,4.04,1,1,Average
S0601,18,Male,73.7,5.0,79.1,48.6,5.28,1,0,Good
S0602,21,Male,69.4,11.9,100.0,76.4,7.39,0,0,Excellent
S0603,21,Male,71.1,0.0,95.9,27.8,4.0,1,1,At Risk
S0604,22,Male,99.0,7.4,100.0,62.9,6.64,1,0,Excellent
S0605,18,Female,83.4,3.4,88.2,60.6,5.67,1,0,Excellent
S0606,20,Male,70.6,4.6,89.9,59.8,6.46,1,0,Excellent
S0607,21,Female,85.5,3.9,74.5,54.2,5.2,1,0,Good
S0608,18,Female,70.0,3.2,79.4,42.5,4.0,0,0,Average
S0609,21,Female,92.6,2.9,100.0,48.3,4.78,1,0,Good
S0610,23,Male,80.5,4.7,70.3,55.3,6.17,1,0,Good
S0611,21,Male,73.4,1.0,100.0,50.2,4.3,1,0,Average
S0612,20,Male,81.7,5.5,81.2,68.4,5.79,1,1,Excellent
S0613,19,Male,51.4,3.2,100.0,41.0,4.32,1,0,At Risk
S0614,22,Other,58.1,1.7,57.3,33.3,4.0,0,0,At Risk
S0615,22,Male,57.1,3.1,90.0,48.6,6.25,1,0,Good
S0616,20,Male,77.1,6.5,76.9,56.0,4.64,1,1,Good
S0617,21,Female,100.0,2.9,59.6,54.6,5.68,1,1,Good
S0618,18,Female,100.0,4.7,87.7,74.7,6.41,0,0,Excellent
S0619,21,Female,84.6,2.5,95.1,59.5,6.58,1,0,Excellent
S0620,20,Male,82.5,5.5,73.3,62.5,6.07,1,1,Excellent
S0621,22,Male,48.0,5.4,63.3,40.4,4.24,1,0,At Risk
S0622,21,Male,66.9,7.7,89.0,64.9,5.18,1,0,Excellent
S0623,22,Male,63.2,3.6,80.9,58.3,6.14,1,1,Good
S0624,18,Male,65.7,5.3,93.8,52.6,4.0,0,0,Average
S0625,22,Male,72.5,4.2,97.6,65.2,6.43,0,1,Excellent
S0626,22,Male,67.9,6.6,87.3,70.5,5.35,1,1,Excellent
S0627,19,Male,45.3,2.6,100.0,54.7,6.28,1,0,Good
S0628,19,Male,86.2,5.5,89.4,64.8,6.02,0,1,Excellent
S0629,23,Female,58.9,3.6,77.0,53.2,5.71,0,1,Average
S0630,19,Female,78.6,3.9,58.6,66.6,6.06,0,0,Good
S0631,22,Female,100.0,4.2,79.5,66.2,4.57,1,0,Excellent
S0632,20,Male,61.2,4.5,79.0,47.9,4.19,0,0,Average
S0633,22,Male,37.0,3.8,97.0,38.9,4.87,1,0,At Risk
S0634,20,Male,70.7,4.4,90.7,56.3,5.51,1,1,Good
S0635,20,Female,91.5,7.2,71.7,58.7,6.47,0,0,Excellent
S0636,19,Female,100.0,6.0,89.6,66.9,6.34,1,0,Excellent
S0637,21,Male,56.6,5.7,96.5,62.9,5.0,0,0,Good
S0638,18,Female,82.5,3.1,100.0,36.5,4.0,1,1,Average
S0639,19,Male,68.0,2.2,92.7,59.3,5.64,0,0,Good
S0640,19,Female,73.4,5.9,98.2,68.7,4.27,1,0,Good
S0641,21,Female,100.0,5.8,87.5,63.7,7.16,1,0,Excellent
S0642,18,Female,52.5,6.9,94.6,60.8,6.0,0,0,Good
S0643,22,Female,78.8,2.8,99.3,52.1,6.11,0,0,Good
S0644,23,Female,82.0,3.5,62.0,64.9,4.63,1,0,Good
S0645,23,Male,91.3,0.7,71.2,57.4,6.44,0,0,Good
S0646,22,Female,76.5,3.2,69.8,41.3,6.26,1,0,Good
S0647,19,Male,79.6,6.0,92.7,66.6,4.94,1,1,Excellent
S0648,18,Female,69.1,3.1,99.7,48.4,5.52,1,0,Good
S0649,19,Female,79.0,5.3,76.6,60.3,5.62,1,0,Good
S0650,20,Female,69.9,3.6,46.3,45.9,4.0,1,0,At Risk
S0651,19,Male,84.3,4.6,78.0,73.1,6.78,1,0,Excellent
S0652,19,Female,69.5,1.7,92.1,54.3,5.92,1,0,Good
S0653,22,Female,80.7,4.2,91.5,50.9,4.57,0,0,Good
S0654,22,Female,74.6,0.0,81.4,31.7,4.83,0,0,At Risk
S0655,22,Male,91.9,3.6,78.0,55.3,4.0,1,0,Good
S0656,23,Male,74.2,0.7,57.2,47.8,4.0,1,0,At Risk
S0657,20,Male,48.4,6.4,95.5,55.6,5.45,1,1,Good
S0658,22,Male,93.9,5.6,73.7,75.0,6.52,0,0,Excellent
S0659,18,Female,61.4,4.9,100.0,59.4,4.99,1,0,Good
S0660,23,Male,65.2,7.0,97.6,68.3,6.75,0,0,Excellent
S0661,21,Other,66.1,2.1,70.5,48.7,5.35,0,0,Average
S0662,18,Male,95.6,7.5,80.8,60.1,6.29,1,0,Excellent
S0663,18,Male,43.0,5.9,85.4,49.0,4.84,0,0,Average
S0664,22,Female,100.0,3.5,78.4,69.0,6.62,1,0,Excellent
S0665,21,Female,90.8,6.3,100.0,65.7,5.59,0,0,Excellent
S0666,21,Male,78.3,1.8,81.4,52.9,6.82,1,0,Good
S0667,23,Female,74.2,2.4,68.8,46.9,4.16,1,1,Average
S0668,21,Female,79.3,2.8,100.0,44.0,6.32,0,0,Good
S0669,20,Male,82.8,2.9,81.5,52.6,5.18,0,0,Good
S0670,22,Other,84.7,1.9,90.3,53.6,4.12,1,1,Average
S0671,21,Other,83.3,6.4,78.7,58.9,6.63,1,0,Excellent
S0672,23,Female,76.3,3.5,87.4,51.5,5.19,1,0,Good
S0673,20,Male,72.0,4.7,89.1,48.2,5.57,0,0,Good
S0674,19,Female,72.7,2.9,52.5,59.5,6.55,1,0,Good
S0675,19,Male,72.1,0.4,100.0,40.5,4.7,1,0,Average
S0676,20,Male,92.0,4.5,100.0,72.7,5.89,1,1,Excellent
S0677,23,Male,83.9,0.2,69.4,58.0,6.26,1,0,Good
S0678,20,Male,30.9,3.9,66.3,40.3,4.42,0,0,At Risk
S0679,22,Female,84.8,1.3,82.8,41.3,5.03,0,1,Average
S0680,22,Female,77.9,8.0,92.3,50.7,4.0,1,1,Good
S0681,19,Female,74.7,5.8,91.9,48.0,5.24,1,0,Good
S0682,21,Male,69.2,4.2,86.3,42.4,4.03,0,0,Average
S0683,23,Male,91.9,6.5,95.6,78.1,8.01,1,0,Excellent
S0684,19,Male,89.2,2.3,100.0,54.6,5.77,0,0,Excellent
S0685,21,Other,63.4,5.1,93.7,57.4,5.64,0,0,Good
S0686,21,Male,81.1,4.4,68.1,39.8,4.78,0,0,Average
S0687,22,Female,60.4,4.5,100.0,42.0,4.0,0,1,Average
S0688,18,Female,54.3,6.5,100.0,62.9,7.07,1,0,Excellent
S0689,18,Male,65.6,5.5,100.0,58.5,7.1,1,0,Excellent
S0690,20,Female,87.9,4.6,67.3,59.0,5.85,0,0,Excellent
S0691,22,Male,89.3,0.7,80.0,53.4,6.48,0,0,Good
S0692,21,Female,82.7,2.1,48.0,64.2,5.4,1,0,Good
S0693,23,Female,85.9,3.8,90.9,55.4,4.69,0,0,Good
S0694,18,Male,82.7,4.2,75.2,58.0,5.51,1,1,Good
S0695,21,Male,65.4,1.7,100.0,46.3,5.13,0,0,Average
S0696,18,Female,81.5,8.8,81.0,90.0,7.08,1,0,Excellent
S0697,18,Female,87.0,7.0,63.7,50.3,5.45,0,0,Good
S0698,18,Male,86.3,5.2,78.3,67.0,6.27,0,0,Excellent
S0699,23,Female,92.8,4.1,53.6,59.2,4.75,0,0,Good
S0700,22,Female,85.6,3.6,93.5,61.0,6.08,0,1,Excellent
S0701,23,Female,80.3,2.1,48.2,45.1,5.4,1,1,Average
S0702,19,Male,91.1,4.2,83.8,59.5,5.71,1,0,Excellent
S0703,21,Female,74.6,4.5,52.8,61.6,6.62,0,0,Good
S0704,22,Female,61.8,1.5,73.2,67.9,5.1,0,1,Average
S0705,22,Male,72.6,4.7,100.0,62.3,6.11,1,0,Excellent
S0706,22,Male,63.8,3.7,87.8,43.5,4.0,1,0,Average
S0707,22,Other,64.9,0.2,62.4,36.7,4.0,1,0,At Risk
S0708,23,Male,72.8,2.3,79.1,45.1,4.2,1,1,Average
S0709,22,Female,63.1,3.2,81.7,34.2,4.0,1,0,At Risk
S0710,20,Male,70.4,7.8,97.7,61.9,5.28,1,1,Excellent
S0711,21,Male,46.6,5.1,64.7,55.1,5.13,1,1,Average
S0712,22,Female,78.2,1.3,86.5,37.2,4.9,1,0,Average
S0713,21,Male,75.0,5.0,44.4,65.9,5.7,0,1,Good
S0714,20,Male,62.7,0.9,67.4,45.4,4.0,0,1,At Risk
S0715,20,Male,84.9,6.2,80.1,58.2,6.4,0,0,Excellent
S0716,21,Female,89.1,3.1,90.7,54.9,4.62,1,0,Good
S0717,18,Male,50.9,3.8,82.9,59.5,5.52,1,0,Average
S0718,19,Male,63.6,6.7,67.3,65.0,6.26,1,0,Excellent
S0719,18,Female,63.5,1.4,63.0,43.3,4.76,0,0,At Risk
S0720,18,Male,60.9,1.2,80.4,40.0,5.28,1,0,Average
S0721,23,Female,87.4,2.8,79.4,55.2,5.7,1,0,Good
S0722,18,Male,72.1,6.1,78.5,55.8,4.66,0,1,Good
S0723,22,Female,71.0,1.0,69.8,27.5,5.39,1,0,At Risk
S0724,23,Male,44.9,0.0,85.4,49.8,5.14,1,0,At Risk
S0725,23,Female,84.5,3.1,73.4,55.9,5.24,1,0,Good
S0726,20,Male,56.4,5.1,83.9,55.4,6.1,1,0,Good
S0727,18,Male,75.9,6.4,100.0,61.5,5.89,1,0,Excellent
S0728,20,Male,79.2,3.1,59.8,47.2,5.15,1,0,Average
S0729,21,Male,95.4,3.2,53.6,56.7,7.4,1,0,Excellent
S0730,19,Male,55.4,6.3,99.4,42.7,4.34,1,1,Average
S0731,23,Male,30.0,0.3,65.4,48.1,4.63,0,1,At Risk
S0732,21,Female,77.8,3.2,76.6,43.1,4.68,1,0,Average
S0733,21,Male,100.0,4.4,72.1,54.9,6.15,0,1,Excellent
S0734,22,Male,93.6,4.9,80.9,59.3,4.35,0,1,Good
S0735,19,Female,78.1,3.0,100.0,62.7,4.19,1,0,Good
S0736,21,Female,67.6,4.1,95.2,52.7,4.69,1,1,Good
S0737,21,Male,87.1,0.0,87.9,36.2,4.0,1,1,Average
S0738,19,Male,60.4,2.7,59.2,56.3,5.04,0,0,Average
S0739,19,Male,82.1,4.9,67.5,65.2,6.31,0,0,Excellent
S0740,21,Female,82.6,2.0,40.0,55.1,4.59,0,0,Average
S0741,19,Female,90.9,4.1,71.1,65.3,4.78,0,0,Good
S0742,21,Male,100.0,4.9,99.2,83.9,7.09,1,1,Excellent
S0743,21,Female,80.9,3.3,89.4,71.7,6.99,0,0,Excellent
S0744,22,Female,67.4,4.3,80.3,47.6,4.0,1,1,Average
S0745,18,Female,74.6,2.1,78.9,61.7,6.36,0,1,Good
S0746,21,Female,48.5,3.6,71.9,48.4,5.56,1,0,Average
S0747,20,Male,64.6,5.2,88.5,59.0,6.3,0,0,Good
S0748,23,Male,68.9,4.3,95.1,40.0,5.37,0,0,Average
S0749,18,Male,67.1,2.8,56.4,47.2,6.59,0,0,Good
S0750,18,Male,77.3,4.4,88.3,49.9,4.71,1,0,Good
S0751,18,Female,62.7,5.4,99.8,61.6,5.78,1,0,Good
S0752,22,Female,91.8,0.0,68.8,56.1,5.03,1,0,Good
S0753,21,Male,75.0,6.3,98.1,44.8,4.69,1,1,Good
S0754,22,Male,74.9,3.3,100.0,52.2,6.36,0,0,Excellent
